--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
(제2안)                    	0.9837
수신처참조                    	0.9923
수                        	0.9999
신                        	0.9997
-                        	0.1926
승인사항                     	0.9342
공장설립                     	0.9990
통보                       	0.9998
제                        	1.0000
목                        	1.0000
:                        	0.7324
공업배치                     	0.9954
에게                       	0.9897
및                        	1.0000
공                        	0.9999
비.엔.피                    	0.7609
대표                       	0.9999
(주)해강                    	0.8042
지내동                      	0.9989
김해시                      	0.9998
268-18                   	0.7951
업무                       	0.9959
통보하오니                    	0.9753
하였음을                     	0.9477
공장설립승인                   	0.9990
제1항에                     	0.9996
의거                       	1.0000
제13조                     	0.9997
설립에                      	0.9994
관한법률                     	0.9990
장                        	0.9999
바랍니다.                    	0.9625
에                        	0.9979
하시기                      	0.9737
참고                       	0.9706
(제1안과같음"                 	0.2717
승인내역                     	0.9990
끝.                       	0.9997
공장설립                     	0.9952
○                        	0.9974
.                        	0.2802
시                        	0.9999
장                        	0.9998
해                        	0.9994
김                        	0.9999
불암동장                     	0.8352
세무과장,                    	0.9980
기업육성과장,                  	0.9888
수신처                      	0.8415
:                        	0.9999
14                       	0.9426
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
(제2안)                    	0.9837
수신처참조                    	0.9923
수                        	0.9999
신                        	0.9997
-                        	0.1926
승인사항                     	0.9342
공장설립                     	0.9990
통보                       	0.9998
제                        	1.0000
목                        	1.0000
:                        	0.7324
공업배치                     	0.9954
에게                       	0.9897
및                        	1.0000
공                        	0.9999
비.엔.피                    	0.7609
대표                       	0.9999
(주)해강                    	0.8042
지내동                      	0.9989
김해시                      	0.9998
268-18                   	0.7951
업무                       	0.9959
통보하오니                    	0.9753
하였음을                     	0.9477
공장설립승인                   	0.9990
제1항에                     	0.9996
의거                       	1.0000
제13조                     	0.9997
설립에                      	0.9994
관한법률                     	0.9990
장                        	0.9999
바랍니다.                    	0.9625
에                        	0.9979
하시기                      	0.9737
참고                       	0.9706
(제1안과같음"                 	0.2717
승인내역                     	0.9990
끝.                       	0.9997
공장설립                     	0.9952
○                        	0.9974
.                        	0.2802
시                        	0.9999
장                        	0.9998
해                        	0.9994
김                        	0.9999
불암동장                     	0.8352
세무과장,                    	0.9980
기업육성과장,                  	0.9888
수신처                      	0.8415
:                        	0.9999
14                       	0.9426
--------------------------------------------------------------------------------
	predicted_labels         	confidence score
--------------------------------------------------------------------------------
(제2안)                    	0.9837
수신처참조                    	0.9923
수                        	0.9999
신                        	0.9997
-                        	0.1926
승인사항                     	0.9342
공장설립                     	0.9990
통보                       	0.9998
제                        	1.0000
목                        	1.0000
:                        	0.7324
공업배치                     	0.9954
에게                       	0.9897
및                        	1.0000
공                        	0.9999
비.엔.피                    	0.7609
대표                       	0.9999
(주)해강                    	0.8042
지내동                      	0.9989
김해시                      	0.9998
268-18                   	0.7951
업무                       	0.9959
통보하오니                    	0.9753
하였음을                     	0.9477
공장설립승인                   	0.9990
제1항에                     	0.9996
의거                       	1.0000
제13조                     	0.9997
설립에                      	0.9994
관한법률                     	0.9990
장                        	0.9999
바랍니다.                    	0.9625
에                        	0.9979
하시기                      	0.9737
참고                       	0.9706
(제1안과같음"                 	0.2717
